region,gender,relocated,wage,experience,education,age,other_work,health,marital_status,pension,power_ladder,wealth_ladder
1,2,1,37000,27,10,46,99999998,2,4,2,3,4
1,2,1,0,40,1,75,2,3,1,1,2,3
1,2,1,0,30,6,77,2,4,5,1,2,3
1,2,1,25000,48,4,64,2,3,5,1,4,4
1,1,2,0,22,4,42,1,2,2,2,3,3
1,2,2,0,6,5,38,2,2,2,2,5,4
1,2,1,0,32,10,70,2,3,5,1,4,4
1,1,1,0,26,6,45,2,2,2,2,5,4
1,2,2,18000,16,5,41,2,2,2,2,5,3
1,2,2,25000,0,4,19,2,2,1,2,4,4
1,1,2,25000,99999997,1,34,2,3,1,2,1,3
1,1,2,0,NA,2,19,2,2,1,2,7,7
1,2,1,0,99999998,10,51,99999998,3,2,2,7,7
1,1,1,45000,30,10,48,2,99999997,2,2,6,6
1,2,2,0,NA,2,18,2,3,1,2,99999997,6
1,2,1,38000,19,10,40,2,3,2,2,5,5
1,1,1,0,27,11,43,2,3,2,1,5,5
1,2,2,0,NA,NA,3,NA,2,NA,NA,NA,NA
1,1,2,0,1,1,32,2,3,1,2,4,4
1,2,1,12000,11,6,55,2,3,4,1,3,5
1,1,2,0,3,1,23,2,3,1,2,5,5
1,2,2,35000,12,2,34,2,3,4,2,4,4
1,2,1,25000,14,10,33,2,2,1,2,4,4
1,1,2,0,NA,NA,6,NA,2,NA,NA,NA,NA
1,2,2,25000,6,6,27,2,2,2,2,5,5
1,1,2,40000,16,4,33,2,2,2,2,6,6
1,2,1,25000,10,6,29,2,2,2,2,4,3
1,1,1,35000,14,6,36,2,2,2,2,5,3
1,2,2,0,NA,NA,3,NA,2,NA,NA,NA,NA
1,2,1,0,40,6,74,2,5,2,1,2,4
1,1,1,0,44,10,78,2,5,2,1,2,3
1,2,1,0,NA,NA,5,NA,2,NA,NA,NA,NA
1,2,2,13000,8,4,28,2,3,1,2,5,5
1,2,1,30000,12,4,32,2,2,1,2,5,6
1,1,2,40000,9,4,34,2,2,1,2,5,5
1,2,1,14000,39,5,58,2,3,5,1,5,5
1,1,2,62000,23,10,43,2,2,2,2,6,5
1,2,1,38000,21,10,43,2,2,2,2,6,5
1,2,1,0,29,4,61,2,3,4,1,4,5
1,1,1,25000,99999996,3,39,2,3,2,2,5,5
1,1,2,0,NA,NA,6,NA,2,NA,NA,NA,NA
1,2,2,25000,10,6,33,2,3,2,2,3,4
1,1,2,0,99999996,11,24,2,3,1,2,99999997,6
